COUPLE1,COUPLE2
DEBORAH,ULA
DEBORAH,TASIA
DEBORAH,TAWANDA
DEBORAH,EVANGELINA
JESSICA,SEAN
JESSICA,PAMILA
JESSICA,JOHNNA
JESSICA,KRISSY
JESSICA,EDIE
JESSICA,VALERY
JESSICA,NOEMI
JESSICA,HELGA
JESSICA,JEWEL
JESSICA,MARX
JESSICA,JADWIGA
SHIRLEY,STORMY
SHIRLEY,ROBERTA
SHIRLEY,KENISHA
SHIRLEY,DEBBIE
SHIRLEY,KIMBERLY
SHIRLEY,SHAMEKA
SHIRLEY,KANDACE
SHIRLEY,CYTHIA
SHIRLEY,TOSHIA
SHIRLEY,MAE
SHIRLEY,EMMIE
CYNTHIA,CARMELINA
CYNTHIA,STEFANY
CYNTHIA,ADAM
CYNTHIA,BERTA
CYNTHIA,GENA
CYNTHIA,CARLI
CYNTHIA,TOMMY
CYNTHIA,CIARA
CYNTHIA,KRISTIE
CYNTHIA,JODIE
CYNTHIA,CORDIA
ANGELA,NENA
ANGELA,MITSUE
ANGELA,SHERRELL
ANGELA,MELISSIA
ANGELA,CLAUDINE
ANGELA,NICOL
ANGELA,SAUNDRA
ANGELA,LUANNE
ANGELA,JEANNINE
ANGELA,SHIELA
ANGELA,MADALINE
MELISSA,KERRI
MELISSA,CAPRICE
MELISSA,MARIO
MELISSA,DENNISE
MELISSA,FRANCHESCA
MELISSA,BEAULAH
MELISSA,JUNITA
MELISSA,JOANA
MELISSA,YEE
MELISSA,CHRISTOPHER
MELISSA,PHOEBE
BRENDA,STEPHNIE
BRENDA,RACHELL
BRENDA,REA
BRENDA,KASANDRA
BRENDA,AN
BRENDA,LE
BRENDA,IRIS
BRENDA,SHEBA
BRENDA,KASHA
BRENDA,ENEIDA
BRENDA,ALMETA
AMY,MAGDALENE
AMY,EMILIE
AMY,JANN
AMY,BUFFY
AMY,FANNIE
AMY,JEAN
AMY,SHAKIA
AMY,JOANN
AMY,RAE
AMY,CLARIBEL
AMY,SOMMER
ANNA,MICKEY
ANNA,MAXINE
ANNA,KAILA
ANNA,MERCEDEZ
ANNA,THERESA
ANNA,BETSEY
ANNA,GEMMA
ANNA,BRENDA
ANNA,GAIL
ANNA,WINNIFRED
ANNA,LISSETTE
REBECCA,LATESHA
REBECCA,SHU
REBECCA,ANGELIKA
REBECCA,GAYE
REBECCA,ZELLA
REBECCA,ERIC
REBECCA,CHANTAL
REBECCA,TIFFANY
REBECCA,DONNA
REBECCA,ARICA
REBECCA,LUELLA
VIRGINIA,REA
VIRGINIA,CARIN
VIRGINIA,MARYLOU
VIRGINIA,BRYANNA
VIRGINIA,SCOTTIE
VIRGINIA,LEAH
VIRGINIA,ALYSSA
VIRGINIA,JEANINE
VIRGINIA,TRINH
VIRGINIA,TERRA
VIRGINIA,ABBIE
KATHLEEN,LACI
KATHLEEN,CARI
KATHLEEN,KHALILAH
KATHLEEN,BRITTANEY
KATHLEEN,KATIA
KATHLEEN,EUFEMIA
KATHLEEN,FRAN
KATHLEEN,CORA
KATHLEEN,CHERRYL
KATHLEEN,TOWANDA
KATHLEEN,RHEA
PAMELA,BLANCHE
PAMELA,HEIKE
PAMELA,SHERLY
PAMELA,ANGELIA
PAMELA,ANNETTA
PAMELA,ELVERA
PAMELA,TAMISHA
PAMELA,REGAN
PAMELA,LESLIE
PAMELA,LILLI
PAMELA,NADIA
MARTHA,ETHELYN
MARTHA,MARYLOU
MARTHA,ROSEANNA
MARTHA,PATRICIA
MARTHA,PRECIOUS
MARTHA,SOPHIE
MARTHA,ELIDA
MARTHA,NAKESHA
MARTHA,BUFFY
MARTHA,NETA
MARTHA,GARNETT
DEBRA,REITA
DEBRA,THANH
DEBRA,MARGARET
DEBRA,LASHANDRA
DEBRA,TEISHA
DEBRA,IVANA
DEBRA,LATIA
DEBRA,QIANA
DEBRA,JODEE
DEBRA,SHYLA
DEBRA,DELL
AMANDA,MYRTIE
AMANDA,TANDRA
AMANDA,REBA
AMANDA,MARGE
AMANDA,CARYL
AMANDA,CHANA
AMANDA,PERLA
AMANDA,WEN
AMANDA,BERNARDA
AMANDA,FELICITAS
AMANDA,LORRETTA
STEPHANIE,CHERIE
STEPHANIE,CATHERIN
STEPHANIE,FAYE
STEPHANIE,ALLENA
STEPHANIE,WONDA
STEPHANIE,RAMONA
STEPHANIE,KATHIE
STEPHANIE,BREANN
STEPHANIE,WHITNEY
STEPHANIE,ANNETTE
STEPHANIE,JULI
CAROLYN,SETSUKO
CAROLYN,SHOSHANA
CAROLYN,MAYME
CAROLYN,JOSEFA
CAROLYN,KATHERYN
CAROLYN,JACALYN
CAROLYN,DACIA
CAROLYN,FRANCENE
CAROLYN,MYUNG
CAROLYN,JERLENE
CAROLYN,BEV
CHRISTINE,LYLA
CHRISTINE,LING
CHRISTINE,CHARLETTE
CHRISTINE,MELANI
CHRISTINE,RANDA
CHRISTINE,LARHONDA
CHRISTINE,KATIE
CHRISTINE,PORTIA
CHRISTINE,HYO
CHRISTINE,SHILA
CHRISTINE,SOILA
MARIE,LEILA
MARIE,ARLENA
MARIE,ASHLEIGH
MARIE,SAUNDRA
MARIE,JA
MARIE,MISS
MARIE,JONE
MARIE,MICHELE
MARIE,SYLVIA
MARIE,IRA
MARIE,EBONI
JANET,ELVERA
JANET,Zuny
JANET,RONA
JANET,SLYVIA
JANET,EMELDA
JANET,OLLIE
JANET,SIXTA
JANET,MARIANNE
JANET,MERIDITH
JANET,LAKIESHA
JANET,TENESHA
CATHERINE,VICTORINA
CATHERINE,EVELINA
CATHERINE,DORINDA
CATHERINE,SHAINA
CATHERINE,TONJA
CATHERINE,KATHERYN
CATHERINE,KAMILAH
CATHERINE,CHEYENNE
CATHERINE,LOUVENIA
CATHERINE,GUILLERMINA
CATHERINE,CHUNG
FRANCES,LAINE
FRANCES,SUZI
FRANCES,TANISHA
FRANCES,SONA
FRANCES,BUENA
FRANCES,LAURETTA
FRANCES,MELLISSA
FRANCES,LELIA
FRANCES,JOEL
FRANCES,MARIELLE
FRANCES,IESHA
ANN,IRENE
ANN,JADA
ANN,JOHN
ANN,MARQUITTA
ANN,LISA
ANN,ARTIE
ANN,ROLANDA
ANN,MELANI
ANN,TOI
ANN,LACIE
ANN,KEMBERLY
JOYCE,DORTHY
JOYCE,JEANINE
JOYCE,OTILIA
JOYCE,FIDELIA
JOYCE,MAEGAN
JOYCE,LESLIE
JOYCE,ELDA
JOYCE,CHERILYN
JOYCE,HAYDEE
JOYCE,VIRGINIA
JOYCE,DAWN
DIANE,VIOLETA
DIANE,NORMA
DIANE,BARBAR
DIANE,TEGAN
DIANE,GLORY
DIANE,CHARITA
DIANE,LEAH
DIANE,SAMMIE
DIANE,ZETTA
DIANE,EDIE
DIANE,JOLIE
ALICE,KITTY
ALICE,DONNIE
ALICE,GRETA
ALICE,RENDA
ALICE,SILVA
ALICE,SCARLETT
ALICE,BENNIE
ALICE,CASIMIRA
ALICE,ZELLA
ALICE,GIGI
ALICE,OLETA
JULIE,WINIFRED
JULIE,GENEVIE
JULIE,TONA
JULIE,SYREETA
JULIE,LAKITA
JULIE,SHANTAE
JULIE,CYNDY
JULIE,GRETA
JULIE,DELOIS
JULIE,CARLOTTA
JULIE,ALLISON
HEATHER,JOCELYN
HEATHER,DALENE
HEATHER,KAYCE
HEATHER,NOEMI
HEATHER,TIERA
HEATHER,TYLER
HEATHER,PAIGE
HEATHER,TINA
HEATHER,MARCELA
HEATHER,KINA
HEATHER,AJA
TERESA,CAROLA
TERESA,JUANA
TERESA,NINFA
TERESA,TEGAN
TERESA,SONJA
TERESA,WHITLEY
TERESA,CHARLES
TERESA,JONIE
TERESA,MARGO
TERESA,NELLE
TERESA,REBECKA
DORIS,JANIE
DORIS,TORRIE
DORIS,LEISHA
DORIS,NICOLASA
DORIS,KARLY
DORIS,JENI
DORIS,LAKEESHA
DORIS,PENNI
DORIS,LAURENE
DORIS,JENNEFER
DORIS,FLORRIE
GLORIA,DANYELL
GLORIA,SAMMIE
GLORIA,ASHA
GLORIA,OLIVIA
GLORIA,HALINA
GLORIA,MARIBEL
GLORIA,JOHNNIE
GLORIA,CIERA
GLORIA,JANNIE
GLORIA,TEENA
GLORIA,TAMIE
EVELYN,GLADIS
EVELYN,NADIA
EVELYN,ALEX
EVELYN,ROSIE
EVELYN,SARA
EVELYN,JODIE
EVELYN,JOANNE
EVELYN,JUAN
EVELYN,JANENE
EVELYN,MIKKI
EVELYN,SAMMY
JEAN,JONNA
JEAN,MARYALICE
JEAN,RHEBA
JEAN,LEATHA
JEAN,PATTI
JEAN,ALANNA
JEAN,STEFANIE
JEAN,RUTHA
JEAN,ARLEAN
JEAN,KAREN
JEAN,LYNDSEY
CHERYL,TRINA
CHERYL,DORETHEA
CHERYL,KATERINE
CHERYL,DENISSE
CHERYL,KRISTIE
CHERYL,SHELA
CHERYL,CANDELARIA
CHERYL,AMALIA
CHERYL,SHEA
CHERYL,KRISTIN
CHERYL,VANIA
MILDRED,YANIRA
MILDRED,LINNEA
MILDRED,LUE
MILDRED,NENA
MILDRED,GRETCHEN
MILDRED,TOCCARA
MILDRED,VANNA
MILDRED,LILLA
MILDRED,ROSY
MILDRED,MYUNG
MILDRED,CHRISTIAN
KATHERINE,PAIGE
KATHERINE,SHELLIE
KATHERINE,HATTIE
KATHERINE,EXIE
KATHERINE,SILVIA
KATHERINE,JERILYN
KATHERINE,CHRISTAL
KATHERINE,LORITA
KATHERINE,TRULA
KATHERINE,MARCI
KATHERINE,EDIE
JOAN,CARMON
JOAN,SHELLIE
JOAN,JOY
JOAN,MARLENA
JOAN,XIAO
JOAN,ALLEGRA
JOAN,JAZMINE
JOAN,ALEASE
JOAN,MAGEN
JOAN,LIZA
JOAN,MARLO
ASHLEY,KAMILAH
ASHLEY,GISELLE
ASHLEY,PERLA
ASHLEY,KYOKO
ASHLEY,PEG
ASHLEY,MAREN
ASHLEY,RACHELL
ASHLEY,LOUIE
ASHLEY,JUSTINA
ASHLEY,RHONA
ASHLEY,THOMASINA
JUDITH,DEDRA
JUDITH,SHERLY
JUDITH,LINA
JUDITH,RAQUEL
JUDITH,JULIANNA
JUDITH,NOELLE
JUDITH,LEE
JUDITH,ARIEL
JUDITH,IRA
JUDITH,JACKIE
JUDITH,GERALYN
ROSE,VALORIE
ROSE,MARIAN
ROSE,RACHEL
ROSE,SIMONNE
ROSE,CAROLE
ROSE,KRYSTEN
ROSE,MEDA
ROSE,RAISA
ROSE,KYOKO
ROSE,BILLI
ROSE,ARMINDA
JANICE,KORTNEY
JANICE,SANDI
JANICE,STARLA
JANICE,BRANDON
JANICE,DOMINIQUE
JANICE,KARISSA
JANICE,LEILANI
JANICE,WEN
JANICE,PORSCHE
JANICE,SHILA
JANICE,SABINA
KELLY,COREY
KELLY,MARIO
KELLY,RHEBA
KELLY,SHARA
KELLY,LORINDA
KELLY,LEAH
KELLY,ROSALIND
KELLY,COLETTE
KELLY,JESSIE
KELLY,LOAN
KELLY,LORETA
NICOLE,DONELLA
NICOLE,ANGILA
NICOLE,LISE
NICOLE,MELONIE
NICOLE,LEONIE
NICOLE,HIEN
NICOLE,CECILLE
NICOLE,JAYNA
NICOLE,MILAGRO
NICOLE,LEONILA
NICOLE,DELPHIA
JUDY,TRUDIE
JUDY,ADINA
JUDY,LORENE
JUDY,CHAN
JUDY,JESTINE
JUDY,TASHINA
JUDY,MOLLY
JUDY,SHERRYL
JUDY,MEREDITH
JUDY,SAMMIE
JUDY,DARCEL
CHRISTINA,CHAYA
CHRISTINA,IRENE
CHRISTINA,DELMA
CHRISTINA,CHARLENE
CHRISTINA,AYAKO
CHRISTINA,LISABETH
CHRISTINA,ANITA
CHRISTINA,NUMBERS
CHRISTINA,LALA
CHRISTINA,LUE
CHRISTINA,GRETCHEN
KATHY,NEOMI
KATHY,VERDA
KATHY,TAYNA
KATHY,TERA
KATHY,AMY
KATHY,ARLINDA
KATHY,IONE
KATHY,SIGRID
KATHY,MARISELA
KATHY,HENRIETTE
KATHY,NANA
THERESA,DAKOTA
THERESA,KAYLEEN
THERESA,SACHA
THERESA,RENEE
THERESA,SHARDA
THERESA,JEWEL
THERESA,GREGORIA
THERESA,REMEDIOS
THERESA,CHARISSE
THERESA,DONG
THERESA,VICKI
BEVERLY,TABITHA
BEVERLY,TRACY
BEVERLY,LEZLIE
BEVERLY,CHINA
BEVERLY,JAZMINE
BEVERLY,INDIA
BEVERLY,LINDSY
BEVERLY,LARONDA
BEVERLY,EARLEAN
BEVERLY,DOMINQUE
BEVERLY,SHANIKA
DENISE,ZORAIDA
DENISE,TRISTA
DENISE,DEDRA
DENISE,FRANCISCA
DENISE,JA
DENISE,SIMONNE
DENISE,KRIS
DENISE,MARCELA
DENISE,ANTONINA
DENISE,ECHO
DENISE,PAULETTA
TAMMY,ROSALINA
TAMMY,ERA
TAMMY,PRISCILA
TAMMY,EVA
TAMMY,NOVA
TAMMY,DAYLE
TAMMY,PARIS
TAMMY,ARDELIA
TAMMY,ILANA
TAMMY,COLLENE
TAMMY,TAMIKA
IRENE,CHERRI
IRENE,JODY
IRENE,VASILIKI
IRENE,TIANNA
IRENE,JANETH
IRENE,SHAN
IRENE,JEANETTA
IRENE,GEMA
IRENE,SVETLANA
IRENE,ALEXIS
IRENE,MIGNON
JANE,CHRISTAL
JANE,LISHA
JANE,KENISHA
JANE,LASHUNDA
JANE,LEAN
JANE,LYNNE
JANE,REGENIA
JANE,ANGELA
JANE,VERNIA
JANE,KHADIJAH
JANE,BRIDGETT
LORI,ADINA
LORI,LESLEE
LORI,URSULA
LORI,FELICE
LORI,MARYA
LORI,JERRIE
LORI,GLADY
LORI,LORINDA
LORI,CARMEN
LORI,DANAE
LORI,JONNA
RACHEL,KAZUKO
RACHEL,SERAFINA
RACHEL,LILIANA
RACHEL,RONNI
RACHEL,HELLEN
RACHEL,ROSANN
RACHEL,JOHNSIE
RACHEL,SHANNON
RACHEL,MAUREEN
RACHEL,MAKEDA
RACHEL,NEVADA
MARILYN,LEOTA
MARILYN,TAMEKIA
MARILYN,AUBREY
MARILYN,AWILDA
MARILYN,SUE
MARILYN,CARMON
MARILYN,LUCIANA
MARILYN,WONDA
MARILYN,ELSY
MARILYN,ARACELI
MARILYN,INGEBORG
ANDREA,UTE
ANDREA,LEEANNA
ANDREA,CLARINE
ANDREA,LAN
ANDREA,JOYE
ANDREA,ARIANE
ANDREA,BRIDGET
ANDREA,VIOLETA
ANDREA,SHAYLA
ANDREA,JACQULINE
ANDREA,HENRIETTA
KATHRYN,YAN
KATHRYN,AGUSTINA
KATHRYN,LAEL
KATHRYN,ASHA
KATHRYN,CHARMAIN
KATHRYN,ALONA
KATHRYN,AURELIA
KATHRYN,PAMILA
KATHRYN,SHANI
KATHRYN,EMELINA
KATHRYN,MANDA
LOUISE,DENNIS
LOUISE,KELLY
LOUISE,JEANNIE
LOUISE,KAI
LOUISE,WILLODEAN
LOUISE,STACEE
LOUISE,SHANE
LOUISE,JUDITH
LOUISE,KATHE
LOUISE,ALEJANDRA
LOUISE,MAIDA
SARA,VINA
SARA,OZIE
SARA,DONA
SARA,EWA
SARA,BRANDIE
SARA,LINN
SARA,DEVORAH
SARA,ELSIE
SARA,TYISHA
SARA,CASSAUNDRA
SARA,DEBORA
ANNE,WILLA
ANNE,CHRISTIA
ANNE,OPHELIA
ANNE,MYUNG
ANNE,DIMPLE
ANNE,ELICIA
ANNE,TERI
ANNE,MARCHELLE
ANNE,RUFINA
ANNE,JAMA
ANNE,LIBBIE
JACQUELINE,LATISHA
JACQUELINE,CHRISTENA
JACQUELINE,EUNA
JACQUELINE,LEWIS
JACQUELINE,EMERALD
JACQUELINE,EVIE
JACQUELINE,TROY
JACQUELINE,KARINA
JACQUELINE,JULIAN
JACQUELINE,HONG
JACQUELINE,GAYLENE
WANDA,KASSANDRA
WANDA,CORALIE
WANDA,BLONDELL
WANDA,MARIN
WANDA,YER
WANDA,TARA
WANDA,NIKI
WANDA,BERNIE
WANDA,TARSHA
WANDA,ALANE
WANDA,MILAGRO
BONNIE,LEE
BONNIE,FELICIA
BONNIE,LOLITA
BONNIE,HEIKE
BONNIE,JOSEFINA
BONNIE,LOVIE
BONNIE,FLORANCE
BONNIE,CANDELARIA
BONNIE,MELONY
BONNIE,EXIE
BONNIE,ROSAMARIA
JULIA,PAIGE
JULIA,GLADYS
JULIA,ALISA
JULIA,DENNIS
JULIA,HERMELINDA
JULIA,DANAE
JULIA,LAURALEE
JULIA,CHARLOTTE
JULIA,ROY
JULIA,SHANNAN
JULIA,SASHA
RUBY,RETTA
RUBY,KENYATTA
RUBY,VERNIA
RUBY,CARITA
RUBY,JACELYN
RUBY,LERA
RUBY,BILLIE
RUBY,SHANE
RUBY,ANGLA
RUBY,KLARA
RUBY,CARYLON
LOIS,VERSIE
LOIS,JOYCE
LOIS,KIM
LOIS,CARLEY
LOIS,LORRETTA
LOIS,KATHELEEN
LOIS,NUBIA
LOIS,GENNY
LOIS,EUSTOLIA
LOIS,ROSALIE
LOIS,SHIN
TINA,SHELIA
TINA,RONNA
TINA,KATHRYN
TINA,SHARIE
TINA,MARTINE
TINA,CANDIS
TINA,SHAQUITA
TINA,EVA
TINA,EULALIA
TINA,OZELL
TINA,CRISSY
PHYLLIS,DEBBRA
PHYLLIS,AUDREA
PHYLLIS,VELMA
PHYLLIS,EVELIN
PHYLLIS,RONNA
PHYLLIS,LUETTA
PHYLLIS,CHELSEA
PHYLLIS,ROMAINE
PHYLLIS,KARON
PHYLLIS,LOURIE
PHYLLIS,BRENDA
NORMA,TAISHA
NORMA,DIAN
NORMA,CHRISTIAN
NORMA,HISAKO
NORMA,CODI
NORMA,MERRY
NORMA,ASUNCION
NORMA,TAYLOR
NORMA,TOCCARA
NORMA,EARLINE
NORMA,ALTHA
PAULA,BARRIE
PAULA,CRYSTAL
PAULA,ZORA
PAULA,HORTENSE
PAULA,CAMILA
PAULA,ANGIE
PAULA,MINERVA
PAULA,CRYSTLE
PAULA,MARTH
PAULA,KANDICE
PAULA,STEVIE
DIANA,ALETHEA
DIANA,KIMBERELY
DIANA,DOMINGA
DIANA,LISANDRA
DIANA,DELAINE
DIANA,DOLORES
DIANA,DELOISE
DIANA,NANCEE
DIANA,HILDE
DIANA,BARBERA
DIANA,NOEL
ANNIE,LAURETTE
ANNIE,CLEMMIE
ANNIE,KAI
ANNIE,KARISA
ANNIE,LILIA
ANNIE,ADRIANNA
ANNIE,LITA
ANNIE,LAREE
ANNIE,TROY
ANNIE,CHARISSE
ANNIE,KIM
LILLIAN,NIEVES
LILLIAN,MAO
LILLIAN,MARYLYNN
LILLIAN,CHELSIE
LILLIAN,BONNY
LILLIAN,CAMILLA
LILLIAN,CIRA
LILLIAN,KAREN
LILLIAN,HYON
LILLIAN,MCKENZIE
LILLIAN,SHELLA
EMILY,CAROYLN
EMILY,KIZZIE
EMILY,MADLYN
EMILY,AUTUMN
EMILY,JENNEFER
EMILY,ELIZA
EMILY,JAMES
EMILY,FAUSTINA
EMILY,NORA
EMILY,KATHEY
EMILY,SON
ROBIN,TOWANDA
ROBIN,DORTHA
ROBIN,REBECA
ROBIN,DONYA
ROBIN,ATHENA
ROBIN,JUSTINE
ROBIN,CHERLY
ROBIN,DORTHEY
ROBIN,JASON
ROBIN,MELBA
ROBIN,TERA
PEGGY,MARGARITE
PEGGY,SHIZUE
PEGGY,SHEMIKA
PEGGY,ADENA
PEGGY,KARLYN
PEGGY,GAYNELLE
PEGGY,ETTA
PEGGY,DUSTY
PEGGY,CARLOS
PEGGY,GISELA
PEGGY,EVE
CRYSTAL,DOLLY
CRYSTAL,JESSIA
CRYSTAL,EMMY
CRYSTAL,LYNDSAY
CRYSTAL,FELISHA
CRYSTAL,JEFFREY
CRYSTAL,SIU
CRYSTAL,MARYANNA
CRYSTAL,LESLIE
CRYSTAL,MILAGROS
CRYSTAL,REATHA
GLADYS,ERLINE
GLADYS,PATIENCE
GLADYS,MARCIA
GLADYS,MARLANA
GLADYS,SADIE
GLADYS,GARNET
GLADYS,ARACELI
GLADYS,CECILY
GLADYS,MEG
GLADYS,ANTONETTE
GLADYS,NUBIA
RITA,TINY
RITA,SUMIKO
RITA,FANNY
RITA,SHAUNA
